headline	lead_paragraph	web_url
What’s on TV Tuesday	Television highlights.	http://www.nytimes.com/2015/06/30/arts/television/whats-on-tv-tuesday.html
Jack Carter, Comedian Who Brought His Rapid-Fire Delivery to TV, Dies at 93	Mr. Carter was a comic and an actor possessing a rapid-fire delivery, a barrage of one-liners and impressions, a dancer&#8217;s light-footedness and a more than passable singing voice.	http://www.nytimes.com/2015/06/30/arts/television/jack-carter-comedian-who-brought-his-rapid-fire-delivery-to-tv-dies-at-93.html
Review: Pianist Ursula Oppens Seamlessly Connects the Classics With New Music	In a solo recital at Bargemusic, Ms. Oppens performed recent pieces alongside works by Schubert, Beethoven and Scriabin.	http://www.nytimes.com/2015/06/30/arts/music/review-pianist-ursula-oppens-seamlessly-connects-the-classics-with-new-music.html
Wilco Tinkers and Experiments at a Festival It&#8217;s Happy to Share	The Solid Sound Festival in North Adams, Mass., is determinedly upbeat, inclusive and family-friendly, and it features a convergence of grown-up indie tastes.	http://www.nytimes.com/2015/06/30/arts/music/wilco-tinkers-and-experiments-at-a-festival-its-happy-to-share.html
Review: &#8216;Spirits of the Air &amp; Heroes&#8217; Takes on Legend and Fairy Tale	Christopher Williams&#8217;s choreography, shown in the Dig Dance series, works with opera music and feminist themes.	http://www.nytimes.com/2015/06/30/arts/dance/review-spirits-of-the-air-heroes-takes-on-legend-and-fairy-tale.html
Review: Syd tha Kyd, Betwixt and Between on &#8216;Ego Death&#8217;	The latest release from the Internet (made up of two Odd Future alums) is infused with sexual swagger.	http://www.nytimes.com/2015/06/30/arts/music/review-syd-tha-kyd-betwixt-and-between-on-ego-death.html
Jazz at Lincoln Center and Sony Music Team Up for Blue Engine Records	Jazz at Lincoln Center will release the recordings from its vaults through an agreement with a division of Sony Music.	http://www.nytimes.com/2015/06/30/arts/music/jazz-at-lincoln-center-and-sony-music-team-up-for-blue-engine-records.html
Review: The Whitney&#8217;s Conlon Nancarrow Festival is an Enchanting Tribute	&#8220;Anywhere in Time,&#8221; the 11-day festival at the new Whitney Museum, included a seven-hour marathon of Conlon Nancarrow&#8217;s studies for player piano.	http://www.nytimes.com/2015/06/30/arts/music/review-the-whitneys-conlon-nancarrow-festival-is-an-enchanting-tribute.html
Review: ‘SILENT dialogue,’ From Dai Jian, Dances From Room to Room at the Met	This three-hour work features nine dancers roaming the art museum and interacting with the audience.	http://www.nytimes.com/2015/06/30/arts/dance/review-silent-dialogue-from-dia-jian-dances-from-room-to-room-at-the-met.html
Review: A TV &#8216;Scream,&#8217; With Fresh Carnage and Winking Nods to the Genre	This MTV series, inspired by Wes Craven&#8217;s 1996 film, leaves you pondering whether a previous generation&#8217;s frights really fit into this frightening time.	http://www.nytimes.com/2015/06/30/arts/television/review-a-tv-scream-with-fresh-carnage-and-winking-nods-to-the-genre.html
